sample_idx,time_ms,raw,delta_raw,zero_raw
1,623406,264593,22005,242588
2,623432,264630,22042,242588
3,623522,264635,22047,242588
4,623611,264594,22006,242588
5,623701,264622,22034,242588
6,623791,264660,22072,242588
7,623880,264682,22094,242588
8,623970,264724,22136,242588
9,624060,264731,22143,242588
10,624149,264769,22181,242588
11,624239,264770,22182,242588
12,624329,264831,22243,242588
13,624418,264849,22261,242588
14,624508,264842,22254,242588
15,624598,264892,22304,242588
16,624687,264880,22292,242588
17,624777,264889,22301,242588
18,624867,264919,22331,242588
19,624956,264939,22351,242588
20,625046,264950,22362,242588
21,625136,264974,22386,242588
22,625225,264968,22380,242588
23,625315,264908,22320,242588
24,625405,264937,22349,242588
25,625494,264960,22372,242588
26,625584,264985,22397,242588
27,625674,265001,22413,242588
28,625763,264998,22410,242588
29,625853,264990,22402,242588
30,625943,264988,22400,242588
31,626032,264927,22339,242588
32,626122,264970,22382,242588
33,626212,264947,22359,242588
34,626301,264899,22311,242588
35,626391,264857,22269,242588
36,626481,264844,22256,242588
37,626570,264844,22256,242588
38,626660,264821,22233,242588
39,626749,264805,22217,242588
40,626839,264805,22217,242588
41,626929,264822,22234,242588
42,627018,264845,22257,242588
43,627108,264866,22278,242588
44,627198,264845,22257,242588
45,627287,264842,22254,242588
46,627377,264818,22230,242588
47,627467,264818,22230,242588
48,627556,264758,22170,242588
49,627646,264726,22138,242588
50,627736,264701,22113,242588
51,627825,264677,22089,242588
52,627915,264624,22036,242588
53,628005,264582,21994,242588
54,628094,264577,21989,242588
55,628184,264539,21951,242588
56,628274,264584,21996,242588
57,628363,264579,21991,242588
58,628453,264583,21995,242588
59,628543,264581,21993,242588
60,628632,264596,22008,242588
61,628722,264617,22029,242588
62,628812,264648,22060,242588
63,628901,264642,22054,242588
64,628991,264689,22101,242588
65,629081,264707,22119,242588
66,629170,264731,22143,242588
67,629260,264758,22170,242588
68,629350,264823,22235,242588
69,629439,264879,22291,242588
70,629529,264915,22327,242588
71,629619,264940,22352,242588
72,629708,264995,22407,242588
73,629798,265022,22434,242588
74,629888,265032,22444,242588
75,629977,265067,22479,242588
76,630067,265107,22519,242588
77,630156,265090,22502,242588
78,630246,265136,22548,242588
79,630336,265103,22515,242588
80,630425,265140,22552,242588
81,630515,265117,22529,242588
82,630605,265113,22525,242588
83,630694,265068,22480,242588
84,630784,265035,22447,242588
85,630874,265038,22450,242588
86,630963,265027,22439,242588
87,631053,265007,22419,242588
88,631143,264958,22370,242588
89,631232,264936,22348,242588
90,631322,264893,22305,242588
91,631412,264827,22239,242588
92,631501,264821,22233,242588
93,631591,264832,22244,242588
94,631681,264855,22267,242588
95,631770,264825,22237,242588
96,631860,264835,22247,242588
97,631950,264871,22283,242588
98,632039,264880,22292,242588
99,632129,264879,22291,242588
100,632219,264880,22292,242588
