sample_idx,time_ms,raw,delta_raw,zero_raw
1,393400,239195,-3393,242588
2,393466,239215,-3373,242588
3,393556,239193,-3395,242588
4,393646,239148,-3440,242588
5,393735,239096,-3492,242588
6,393825,239129,-3459,242588
7,393915,239158,-3430,242588
8,394004,239173,-3415,242588
9,394094,239209,-3379,242588
10,394184,239204,-3384,242588
11,394273,239229,-3359,242588
12,394363,239230,-3358,242588
13,394453,239203,-3385,242588
14,394542,239261,-3327,242588
15,394632,239224,-3364,242588
16,394722,239210,-3378,242588
17,394811,239228,-3360,242588
18,394901,239218,-3370,242588
19,394991,239208,-3380,242588
20,395080,239208,-3380,242588
21,395170,239226,-3362,242588
22,395260,239196,-3392,242588
23,395349,239243,-3345,242588
24,395439,239212,-3376,242588
25,395529,239241,-3347,242588
26,395618,239272,-3316,242588
27,395708,239289,-3299,242588
28,395798,239292,-3296,242588
29,395887,239334,-3254,242588
30,395977,239339,-3249,242588
31,396067,239320,-3268,242588
32,396156,239349,-3239,242588
33,396246,239338,-3250,242588
34,396336,239335,-3253,242588
35,396425,239350,-3238,242588
36,396515,239410,-3178,242588
37,396604,239491,-3097,242588
38,396694,239475,-3113,242588
39,396784,239491,-3097,242588
40,396873,239519,-3069,242588
41,396963,239536,-3052,242588
42,397053,239548,-3040,242588
43,397142,239559,-3029,242588
44,397232,239551,-3037,242588
45,397322,239551,-3037,242588
46,397411,239542,-3046,242588
47,397501,239518,-3070,242588
48,397591,239491,-3097,242588
49,397680,239494,-3094,242588
50,397770,239477,-3111,242588
51,397860,239455,-3133,242588
52,397949,239459,-3129,242588
53,398039,239483,-3105,242588
54,398129,239476,-3112,242588
55,398218,239464,-3124,242588
56,398308,239407,-3181,242588
57,398398,239398,-3190,242588
58,398487,239356,-3232,242588
59,398577,239298,-3290,242588
60,398667,239258,-3330,242588
61,398756,239261,-3327,242588
62,398846,239231,-3357,242588
63,398936,239225,-3363,242588
64,399025,239243,-3345,242588
65,399115,239227,-3361,242588
66,399205,239204,-3384,242588
67,399294,239163,-3425,242588
68,399384,239160,-3428,242588
69,399474,239166,-3422,242588
70,399563,239159,-3429,242588
71,399653,239112,-3476,242588
72,399742,239109,-3479,242588
73,399832,239051,-3537,242588
74,399922,239001,-3587,242588
75,400011,238970,-3618,242588
76,400101,238986,-3602,242588
77,400191,238964,-3624,242588
78,400280,238947,-3641,242588
79,400370,238929,-3659,242588
80,400460,238911,-3677,242588
81,400549,238885,-3703,242588
82,400639,238815,-3773,242588
83,400729,238756,-3832,242588
84,400818,238729,-3859,242588
85,400908,238707,-3881,242588
86,400998,238662,-3926,242588
87,401087,238673,-3915,242588
88,401177,238643,-3945,242588
89,401267,238596,-3992,242588
90,401356,238543,-4045,242588
91,401446,238557,-4031,242588
92,401536,238576,-4012,242588
93,401625,238586,-4002,242588
94,401715,238584,-4004,242588
95,401805,238517,-4071,242588
96,401894,238515,-4073,242588
97,401984,238437,-4151,242588
98,402074,238439,-4149,242588
99,402163,238439,-4149,242588
100,402253,238391,-4197,242588
