sample_idx,time_ms,raw,delta_raw,zero_raw
1,210857,249764,7176,242588
2,210933,249784,7196,242588
3,211023,249804,7216,242588
4,211113,249780,7192,242588
5,211202,249784,7196,242588
6,211292,249732,7144,242588
7,211382,249701,7113,242588
8,211471,249662,7074,242588
9,211561,249592,7004,242588
10,211651,249505,6917,242588
11,211740,249473,6885,242588
12,211830,249474,6886,242588
13,211919,249470,6882,242588
14,212009,249466,6878,242588
15,212099,249494,6906,242588
16,212188,249497,6909,242588
17,212278,249502,6914,242588
18,212368,249548,6960,242588
19,212457,249549,6961,242588
20,212547,249578,6990,242588
21,212637,249604,7016,242588
22,212726,249676,7088,242588
23,212816,249719,7131,242588
24,212906,249740,7152,242588
25,212995,249753,7165,242588
26,213085,249815,7227,242588
27,213175,249799,7211,242588
28,213264,249843,7255,242588
29,213354,249858,7270,242588
30,213444,249838,7250,242588
31,213533,249844,7256,242588
32,213623,249834,7246,242588
33,213712,249824,7236,242588
34,213802,249841,7253,242588
35,213892,249816,7228,242588
36,213981,249787,7199,242588
37,214071,249786,7198,242588
38,214161,249754,7166,242588
39,214250,249729,7141,242588
40,214340,249754,7166,242588
41,214430,249714,7126,242588
42,214519,249735,7147,242588
43,214609,249754,7166,242588
44,214699,249705,7117,242588
45,214788,249692,7104,242588
46,214878,249754,7166,242588
47,214968,249746,7158,242588
48,215057,249734,7146,242588
49,215147,249753,7165,242588
50,215236,249720,7132,242588
51,215326,249723,7135,242588
52,215416,249767,7179,242588
53,215505,249789,7201,242588
54,215595,249774,7186,242588
55,215685,249797,7209,242588
56,215774,249769,7181,242588
57,215864,249783,7195,242588
58,215954,249802,7214,242588
59,216043,249807,7219,242588
60,216133,249832,7244,242588
61,216223,249861,7273,242588
62,216312,249849,7261,242588
63,216402,249803,7215,242588
64,216492,249806,7218,242588
65,216581,249781,7193,242588
66,216671,249732,7144,242588
67,216761,249714,7126,242588
68,216850,249675,7087,242588
69,216940,249618,7030,242588
70,217029,249573,6985,242588
71,217119,249551,6963,242588
72,217209,249522,6934,242588
73,217298,249506,6918,242588
74,217388,249475,6887,242588
75,217478,249471,6883,242588
76,217567,249486,6898,242588
77,217657,249484,6896,242588
78,217747,249467,6879,242588
79,217836,249461,6873,242588
80,217926,249413,6825,242588
81,218016,249370,6782,242588
82,218105,249335,6747,242588
83,218195,249343,6755,242588
84,218285,249347,6759,242588
85,218374,249354,6766,242588
86,218464,249325,6737,242588
87,218553,249331,6743,242588
88,218643,249338,6750,242588
89,218733,249349,6761,242588
90,218822,249292,6704,242588
91,218912,249280,6692,242588
92,219002,249300,6712,242588
93,219091,249254,6666,242588
94,219181,249242,6654,242588
95,219271,249228,6640,242588
96,219360,249191,6603,242588
97,219450,249142,6554,242588
98,219540,249114,6526,242588
99,219629,249123,6535,242588
100,219719,249163,6575,242588
