sample_idx,time_ms,raw,delta_raw,zero_raw
1,460683,256614,14026,242588
2,460708,256621,14033,242588
3,460798,256648,14060,242588
4,460887,256678,14090,242588
5,460977,256647,14059,242588
6,461067,256641,14053,242588
7,461156,256604,14016,242588
8,461246,256564,13976,242588
9,461336,256546,13958,242588
10,461425,256513,13925,242588
11,461515,256474,13886,242588
12,461605,256462,13874,242588
13,461694,256434,13846,242588
14,461784,256390,13802,242588
15,461874,256378,13790,242588
16,461963,256387,13799,242588
17,462053,256384,13796,242588
18,462143,256354,13766,242588
19,462232,256353,13765,242588
20,462322,256343,13755,242588
21,462411,256330,13742,242588
22,462501,256356,13768,242588
23,462591,256322,13734,242588
24,462680,256253,13665,242588
25,462770,256221,13633,242588
26,462860,256190,13602,242588
27,462949,256141,13553,242588
28,463039,256101,13513,242588
29,463129,256059,13471,242588
30,463218,256048,13460,242588
31,463308,255999,13411,242588
32,463398,255961,13373,242588
33,463487,255953,13365,242588
34,463577,255956,13368,242588
35,463667,255938,13350,242588
36,463756,255957,13369,242588
37,463846,255997,13409,242588
38,463936,256047,13459,242588
39,464025,256073,13485,242588
40,464115,256094,13506,242588
41,464205,256101,13513,242588
42,464294,256140,13552,242588
43,464384,256209,13621,242588
44,464474,256224,13636,242588
45,464563,256249,13661,242588
46,464653,256271,13683,242588
47,464743,256321,13733,242588
48,464832,256347,13759,242588
49,464922,256287,13699,242588
50,465012,256266,13678,242588
51,465101,256247,13659,242588
52,465191,256222,13634,242588
53,465281,256249,13661,242588
54,465370,256307,13719,242588
55,465460,256362,13774,242588
56,465549,256315,13727,242588
57,465639,256340,13752,242588
58,465729,256329,13741,242588
59,465818,256267,13679,242588
60,465908,256277,13689,242588
61,465998,256246,13658,242588
62,466087,256201,13613,242588
63,466177,256247,13659,242588
64,466267,256246,13658,242588
65,466356,256221,13633,242588
66,466446,256218,13630,242588
67,466536,256239,13651,242588
68,466625,256252,13664,242588
69,466715,256281,13693,242588
70,466805,256316,13728,242588
71,466894,256369,13781,242588
72,466984,256415,13827,242588
73,467074,256357,13769,242588
74,467163,256410,13822,242588
75,467253,256434,13846,242588
76,467343,256416,13828,242588
77,467432,256453,13865,242588
78,467522,256503,13915,242588
79,467612,256518,13930,242588
80,467701,256544,13956,242588
81,467791,256532,13944,242588
82,467880,256500,13912,242588
83,467970,256491,13903,242588
84,468060,256478,13890,242588
85,468149,256450,13862,242588
86,468239,256435,13847,242588
87,468329,256407,13819,242588
88,468418,256373,13785,242588
89,468508,256329,13741,242588
90,468598,256308,13720,242588
91,468687,256305,13717,242588
92,468777,256306,13718,242588
93,468867,256336,13748,242588
94,468956,256337,13749,242588
95,469046,256325,13737,242588
96,469136,256316,13728,242588
97,469225,256287,13699,242588
98,469315,256277,13689,242588
99,469405,256270,13682,242588
100,469494,256265,13677,242588
