sample_idx,time_ms,raw,delta_raw,zero_raw
1,559915,247759,5171,242588
2,559955,247752,5164,242588
3,560044,247746,5158,242588
4,560134,247715,5127,242588
5,560224,247732,5144,242588
6,560313,247751,5163,242588
7,560403,247773,5185,242588
8,560493,247812,5224,242588
9,560582,247789,5201,242588
10,560672,247754,5166,242588
11,560762,247805,5217,242588
12,560851,247799,5211,242588
13,560941,247814,5226,242588
14,561031,247816,5228,242588
15,561120,247848,5260,242588
16,561210,247894,5306,242588
17,561300,247964,5376,242588
18,561389,247945,5357,242588
19,561479,247993,5405,242588
20,561569,248002,5414,242588
21,561658,247967,5379,242588
22,561748,247919,5331,242588
23,561838,247910,5322,242588
24,561927,247892,5304,242588
25,562017,247886,5298,242588
26,562106,247847,5259,242588
27,562196,247845,5257,242588
28,562286,247862,5274,242588
29,562375,247820,5232,242588
30,562465,247844,5256,242588
31,562555,247883,5295,242588
32,562644,247858,5270,242588
33,562734,247866,5278,242588
34,562824,247804,5216,242588
35,562913,247780,5192,242588
36,563003,247771,5183,242588
37,563093,247733,5145,242588
38,563182,247703,5115,242588
39,563272,247692,5104,242588
40,563362,247658,5070,242588
41,563451,247619,5031,242588
42,563541,247574,4986,242588
43,563631,247571,4983,242588
44,563720,247533,4945,242588
45,563810,247516,4928,242588
46,563900,247535,4947,242588
47,563989,247571,4983,242588
48,564079,247583,4995,242588
49,564169,247614,5026,242588
50,564258,247609,5021,242588
51,564348,247602,5014,242588
52,564437,247594,5006,242588
53,564527,247552,4964,242588
54,564617,247525,4937,242588
55,564706,247506,4918,242588
56,564796,247489,4901,242588
57,564886,247466,4878,242588
58,564975,247376,4788,242588
59,565065,247347,4759,242588
60,565155,247300,4712,242588
61,565244,247278,4690,242588
62,565334,247298,4710,242588
63,565424,247287,4699,242588
64,565513,247232,4644,242588
65,565603,247225,4637,242588
66,565693,247211,4623,242588
67,565782,247188,4600,242588
68,565872,247164,4576,242588
69,565962,247129,4541,242588
70,566051,247113,4525,242588
71,566141,247111,4523,242588
72,566231,247108,4520,242588
73,566320,247104,4516,242588
74,566410,247064,4476,242588
75,566500,247028,4440,242588
76,566589,247005,4417,242588
77,566679,247034,4446,242588
78,566768,247077,4489,242588
79,566858,247106,4518,242588
80,566948,247089,4501,242588
81,567037,247125,4537,242588
82,567127,247135,4547,242588
83,567217,247122,4534,242588
84,567306,247151,4563,242588
85,567396,247147,4559,242588
86,567486,247171,4583,242588
87,567575,247140,4552,242588
88,567665,247079,4491,242588
89,567755,247050,4462,242588
90,567844,246999,4411,242588
91,567934,246936,4348,242588
92,568024,246907,4319,242588
93,568113,246902,4314,242588
94,568203,246884,4296,242588
95,568293,246862,4274,242588
96,568382,246838,4250,242588
97,568472,246840,4252,242588
98,568562,246835,4247,242588
99,568651,246835,4247,242588
100,568741,246827,4239,242588
