sample_idx,time_ms,raw,delta_raw,zero_raw
1,591693,257638,15050,242588
2,591783,257656,15068,242588
3,591873,257639,15051,242588
4,591962,257664,15076,242588
5,592052,257714,15126,242588
6,592142,257699,15111,242588
7,592231,257678,15090,242588
8,592321,257696,15108,242588
9,592411,257658,15070,242588
10,592500,257684,15096,242588
11,592590,257693,15105,242588
12,592680,257710,15122,242588
13,592769,257686,15098,242588
14,592859,257652,15064,242588
15,592949,257622,15034,242588
16,593038,257642,15054,242588
17,593128,257591,15003,242588
18,593217,257589,15001,242588
19,593307,257576,14988,242588
20,593397,257570,14982,242588
21,593486,257567,14979,242588
22,593576,257531,14943,242588
23,593666,257505,14917,242588
24,593755,257467,14879,242588
25,593845,257422,14834,242588
26,593935,257363,14775,242588
27,594024,257343,14755,242588
28,594114,257313,14725,242588
29,594204,257243,14655,242588
30,594293,257203,14615,242588
31,594383,257180,14592,242588
32,594473,257156,14568,242588
33,594562,257126,14538,242588
34,594652,257141,14553,242588
35,594742,257121,14533,242588
36,594831,257109,14521,242588
37,594921,257114,14526,242588
38,595011,257108,14520,242588
39,595100,257108,14520,242588
40,595190,257067,14479,242588
41,595280,257060,14472,242588
42,595369,257098,14510,242588
43,595459,257138,14550,242588
44,595549,257149,14561,242588
45,595638,257193,14605,242588
46,595728,257264,14676,242588
47,595818,257293,14705,242588
48,595907,257303,14715,242588
49,595997,257308,14720,242588
50,596087,257297,14709,242588
51,596176,257280,14692,242588
52,596266,257230,14642,242588
53,596356,257194,14606,242588
54,596445,257250,14662,242588
55,596535,257200,14612,242588
56,596625,257170,14582,242588
57,596714,257164,14576,242588
58,596804,257146,14558,242588
59,596894,257144,14556,242588
60,596983,257120,14532,242588
61,597073,257092,14504,242588
62,597163,257084,14496,242588
63,597252,257053,14465,242588
64,597342,257049,14461,242588
65,597431,257060,14472,242588
66,597521,257115,14527,242588
67,597611,257085,14497,242588
68,597700,257034,14446,242588
69,597790,257098,14510,242588
70,597880,257118,14530,242588
71,597969,257136,14548,242588
72,598059,257162,14574,242588
73,598149,257165,14577,242588
74,598238,257169,14581,242588
75,598328,257214,14626,242588
76,598418,257226,14638,242588
77,598507,257199,14611,242588
78,598597,257204,14616,242588
79,598687,257225,14637,242588
80,598776,257271,14683,242588
81,598866,257325,14737,242588
82,598956,257309,14721,242588
83,599045,257314,14726,242588
84,599135,257337,14749,242588
85,599225,257385,14797,242588
86,599314,257420,14832,242588
87,599404,257416,14828,242588
88,599494,257412,14824,242588
89,599583,257394,14806,242588
90,599673,257450,14862,242588
91,599763,257480,14892,242588
92,599852,257415,14827,242588
93,599942,257421,14833,242588
94,600032,257378,14790,242588
95,600121,257334,14746,242588
96,600211,257342,14754,242588
97,600301,257359,14771,242588
98,600390,257388,14800,242588
99,600480,257362,14774,242588
100,600570,257333,14745,242588
