sample_idx,time_ms,raw,delta_raw,zero_raw
1,496505,263911,21323,242588
2,496570,263878,21290,242588
3,496659,263901,21313,242588
4,496749,263881,21293,242588
5,496839,263923,21335,242588
6,496928,263902,21314,242588
7,497018,263898,21310,242588
8,497107,263867,21279,242588
9,497197,263856,21268,242588
10,497287,263856,21268,242588
11,497376,263812,21224,242588
12,497466,263830,21242,242588
13,497556,263785,21197,242588
14,497645,263818,21230,242588
15,497735,263820,21232,242588
16,497825,263869,21281,242588
17,497914,263886,21298,242588
18,498004,263876,21288,242588
19,498094,263866,21278,242588
20,498183,263893,21305,242588
21,498273,263934,21346,242588
22,498363,263937,21349,242588
23,498452,263936,21348,242588
24,498542,263995,21407,242588
25,498632,264030,21442,242588
26,498721,264033,21445,242588
27,498811,263981,21393,242588
28,498900,264007,21419,242588
29,498990,264033,21445,242588
30,499080,263986,21398,242588
31,499169,263917,21329,242588
32,499259,263892,21304,242588
33,499349,263869,21281,242588
34,499438,263831,21243,242588
35,499528,263792,21204,242588
36,499618,263745,21157,242588
37,499707,263651,21063,242588
38,499797,263603,21015,242588
39,499887,263535,20947,242588
40,499976,263495,20907,242588
41,500066,263426,20838,242588
42,500156,263358,20770,242588
43,500245,263333,20745,242588
44,500335,263249,20661,242588
45,500425,263281,20693,242588
46,500514,263288,20700,242588
47,500604,263273,20685,242588
48,500693,263310,20722,242588
49,500783,263344,20756,242588
50,500873,263355,20767,242588
51,500962,263315,20727,242588
52,501052,263348,20760,242588
53,501142,263398,20810,242588
54,501231,263414,20826,242588
55,501321,263451,20863,242588
56,501411,263432,20844,242588
57,501500,263408,20820,242588
58,501590,263430,20842,242588
59,501680,263443,20855,242588
60,501769,263471,20883,242588
61,501859,263399,20811,242588
62,501949,263362,20774,242588
63,502038,263368,20780,242588
64,502128,263376,20788,242588
65,502218,263348,20760,242588
66,502307,263313,20725,242588
67,502397,263237,20649,242588
68,502487,263198,20610,242588
69,502576,263198,20610,242588
70,502666,263204,20616,242588
71,502756,263138,20550,242588
72,502845,263101,20513,242588
73,502935,263108,20520,242588
74,503024,263079,20491,242588
75,503114,263092,20504,242588
76,503204,263098,20510,242588
77,503293,263074,20486,242588
78,503383,263073,20485,242588
79,503473,263122,20534,242588
80,503562,263149,20561,242588
81,503652,263188,20600,242588
82,503742,263207,20619,242588
83,503831,263273,20685,242588
84,503921,263319,20731,242588
85,504011,263368,20780,242588
86,504100,263357,20769,242588
87,504190,263435,20847,242588
88,504280,263446,20858,242588
89,504369,263489,20901,242588
90,504459,263492,20904,242588
91,504549,263528,20940,242588
92,504638,263570,20982,242588
93,504728,263587,20999,242588
94,504818,263643,21055,242588
95,504907,263674,21086,242588
96,504997,263673,21085,242588
97,505086,263705,21117,242588
98,505176,263724,21136,242588
99,505266,263686,21098,242588
100,505355,263676,21088,242588
